"","Full","Stem","Index","Min","Max","Total"
"1","home","home","1","4","413","12134"
"2","pride","pride","2","0","7","107"
"3","of","of","3","1","388","12432"
"4","ownership","ownership","4","0","7","113"
"5","is","i","5","0","227","7609"
"6","the","the","6","3","830","26216"
"7","moment","moment","7","0","5","121"
"8","you","you","8","0","93","3403"
"9","enter","enter","9","0","10","260"
"10","this","thi","10","2","255","8916"
"11","impressive","impress","11","0","10","173"
"12","perched","perch","12","0","15","350"
"13","along","along","13","0","10","245"
"14","burke","burk","14","0","11","286"
"15","gilman","gilman","15","0","11","278"
"16","trail","trail","16","0","21","465"
"17","special","special","17","0","14","304"
"18","has","ha","18","1","146","5219"
"19","all","all","19","0","105","3339"
"20","right","right","20","0","15","348"
"21","spaces","space","21","0","160","5228"
"22","on","on","22","1","334","10310"
"23","your","your","23","0","106","2889"
"24","list","list","24","0","18","332"
"25","for","for","25","0","271","8769"
"26","ideal","ideal","26","0","19","553"
"27","active","activ","27","0","9","128"
"28","lifestyle","lifestyl","28","0","10","234"
"29","oversized","overs","29","0","25","608"
"30","master","master","30","1","142","4213"
"31","suite","suit","31","0","89","2583"
"32","w","w","32","0","349","10808"
"33","adjoining","adjoin","33","0","11","227"
"34","sitting","sit","34","0","34","898"
"35","room","room","35","3","426","13868"
"36","deck","deck","36","0","175","5167"
"37","perfect","perfect","37","0","73","2018"
"38","place","place","38","0","21","426"
"39","to","to","39","4","647","18523"
"40","relax","relax","40","0","21","495"
"41","boasts","boast","41","0","26","758"
"42","bdrms","bdrm","43","0","68","1572"
"43","including","includ","44","0","87","2817"
"44","private","privat","45","0","109","3210"
"45","living","live","46","2","220","7030"
"46","possible","possibl","47","0","21","438"
"47","pair","pair","48","0","2","31"
"48","enjoy","enjoi","49","0","68","1867"
"49","open","open","50","0","146","4692"
"50","kitchen","kitchen","51","1","292","9503"
"51","layout","layout","52","0","9","253"
"52","family","famili","53","0","83","2753"
"53","mature","matur","54","0","20","600"
"54","lush","lush","55","0","17","405"
"55","yard","yard","56","0","117","4064"
"56","can","can","57","0","19","558"
"57","be","be","58","0","50","1317"
"58","from","from","59","0","120","3553"
"59","large","larg","61","0","188","6282"
"60","truly","truli","62","0","13","289"
"61","gem","gem","63","0","16","325"
"62","sunny","sunni","64","0","40","1034"
"63","and","and","65","4","1140","30464"
"64","bright","bright","66","0","44","1099"
"65","unit","unit","67","0","14","192"
"66","quiet","quiet","68","0","52","1547"
"67","side","side","69","0","24","712"
"68","building","build","70","0","21","309"
"69","with","with","71","4","607","18139"
"70","full","full","72","0","115","3152"
"71","western","western","73","0","9","227"
"72","exposure","exposur","74","0","10","261"
"73","in","in","75","4","500","16673"
