Full,Stem,Index,Min,Max,Total,Keep,Root_Index
home,home,1,4,413,12134,1,
pride,pride,2,0,7,107,1,
of,of,3,1,388,12432,0,
ownership,ownership,4,0,7,113,1,
is,i,5,0,227,7609,0,
the,the,7,3,830,26216,0,
moment,moment,8,0,5,121,0,
you,you,9,0,93,3403,0,
enter,enter,10,0,10,260,0,
this,thi,11,2,255,8916,0,
impressive,impress,12,0,10,173,0,
perched,perch,14,0,15,350,1,
along,along,15,0,10,245,0,
burke,burk,16,0,11,286,1,
gilman,gilman,17,0,11,278,1,
trail,trail,18,0,21,465,1,
special,special,19,0,14,304,0,
has,ha,20,1,146,5219,0,
all,all,21,0,105,3339,0,
right,right,22,0,15,348,0,
spaces,space,23,0,160,5228,1,
on,on,24,1,334,10310,0,
your,your,25,0,106,2889,0,
list,list,27,0,18,332,0,
for,for,28,0,271,8769,0,
ideal,ideal,29,0,19,553,0,
active,activ,30,0,9,128,1,
lifestyle,lifestyl,31,0,10,234,1,
oversized,overs,32,0,25,608,1,
master,master,33,1,142,4213,1,
suite,suit,34,0,89,2583,1,
w,w,35,0,349,10808,0,
adjoining,adjoin,36,0,11,227,1,
sitting,sit,37,0,34,898,1,
room,room,38,3,426,13868,1,
deck,deck,39,0,175,5167,1,
perfect,perfect,40,0,73,2018,0,
place,place,41,0,21,426,0,
to,to,42,4,647,18523,0,
relax,relax,43,0,21,495,0,
boasts,boast,44,0,26,758,0,
bdrms,bdrm,46,0,68,1572,1,82
including,includ,47,0,87,2817,0,
private,privat,48,0,109,3210,1,
living,live,49,2,220,7030,1,
possible,possibl,50,0,21,438,0,
pair,pair,52,0,2,31,0,
enjoy,enjoi,53,0,68,1867,0,
open,open,54,0,146,4692,1,
kitchen,kitchen,55,1,292,9503,1,
layout,layout,56,0,9,253,1,81
family,famili,57,0,83,2753,1,
mature,matur,58,0,20,600,1,
lush,lush,59,0,17,405,1,
yard,yard,60,0,117,4064,1,
can,can,61,0,19,558,0,
be,be,62,0,50,1317,0,
from,from,63,0,120,3553,0,
large,larg,65,0,188,6282,1,
truly,truli,66,0,13,289,0,
gem,gem,67,0,16,325,1,
sunny,sunni,68,0,40,1034,1,90
and,and,69,4,1140,30464,0,
bright,bright,70,0,44,1099,1,
unit,unit,71,0,14,192,0,
quiet,quiet,72,0,52,1547,1,
side,side,73,0,24,712,0,
building,build,74,0,21,309,1,
with,with,75,4,607,18139,0,
full,full,76,0,115,3152,0,
western,western,77,0,9,227,1,
exposure,exposur,78,0,10,261,1,
in,in,79,4,500,16673,0,
well,well,80,0,43,1276,0,
maintained,maintain,81,0,33,891,1,
newer,newer,82,0,56,1841,1,
windows,window,83,0,127,4442,1,
spacious,spaciou,84,0,121,3468,1,
floorplan,floorplan,85,0,10,212,1,
bedroom,bedroom,86,2,250,7565,1,
bath,bath,87,3,291,8660,1,
2nd,2nd,88,0,45,1017,1,
tiled,tile,89,0,61,2029,1,
tub,tub,90,0,30,1038,1,
shower,shower,91,0,21,466,1,
surrounds,surround,92,0,21,629,0,
fireplace,fireplac,93,0,137,4343,1,
sun,sun,94,0,23,626,1,
appliances,applianc,95,0,81,2355,1,
range,rang,96,0,19,586,1,
fridge,fridg,97,0,6,122,1,992
dishwasher,dishwash,98,0,5,122,1,
plus,plu,100,0,48,1331,0,
washer,washer,101,0,10,195,1,
dryer,dryer,102,0,10,205,1,
dining,dine,104,0,141,4770,1,
formal,formal,105,0,59,1851,0,
entry,entri,106,0,41,1131,0,
hardwoods,hardwood,107,0,127,4484,1,
freshly,freshli,108,0,17,381,0,
painted,paint,109,0,55,1855,1,
thruout,thruout,110,0,5,62,0,
new,new,111,1,189,6852,1,
light,light,112,1,144,4295,1,
fixtures,fixtur,113,0,15,389,0,
storage,storag,114,0,93,2698,1,
more,more,115,0,44,1471,0,
great,great,116,0,128,4093,0,
updated,updat,117,0,156,5282,1,
georgetown,georgetown,118,0,5,58,1,
charmer,charmer,119,0,12,318,0,
beautiful,beauti,120,0,70,2254,0,
street,street,121,0,116,3615,0,
club,club,122,0,10,184,0,
original,origin,124,0,61,1571,1,
character,charact,125,0,15,314,1,
details,detail,126,0,41,1295,1,
incl,incl,127,0,12,232,0,
picture,pictur,128,0,17,553,1,
rail,rail,129,0,37,806,1,
molding,mold,130,0,18,503,1,
knobs,knob,131,0,4,75,1,
fir,fir,132,0,27,632,1,
floors,floor,133,0,339,10564,1,
romantic,romant,134,0,5,103,0,
period,period,135,0,24,838,0,
will,will,136,0,34,1057,0,
make,make,137,0,29,955,0,
fall,fall,138,0,9,129,1,
love,love,139,0,57,1796,0,
step,step,140,0,24,742,0,
inside,insid,141,0,21,629,0,
kind,kind,142,0,7,126,0,
t,t,144,0,16,535,0,
miss,miss,145,0,16,417,0,
huge,huge,146,0,67,1916,1,
fully,fulli,147,0,56,1824,0,
fenced,fenc,148,0,82,2590,1,
outdoor,outdoor,149,0,37,927,1,
play,plai,150,0,17,560,1,
triple,tripl,151,0,3,32,0,
paned,pane,152,0,26,655,1,
electric,electr,153,0,35,1126,1,
plumbing,plumb,154,0,45,1400,1,
bonus,bonu,155,0,38,1018,0,
features,featur,156,0,122,3268,0,
wine,wine,157,0,11,307,1,
cellar,cellar,158,0,8,168,1,
detached,detach,160,0,43,1288,1,
office,offic,161,0,52,1802,1,
music,music,162,0,3,34,1,
art,art,163,0,11,287,1,
studio,studio,164,0,19,503,1,
or,or,165,0,110,3043,0,
mil,mil,166,0,27,378,0,
remodeled,remodel,168,0,86,3083,1,
lot,lot,170,0,132,3767,1,
natural,natur,171,0,37,1123,1,
sw,sw,172,0,6,100,1,1461
located,locat,173,0,134,4078,1,
n,n,174,0,5,87,1,539
beacon,beacon,175,0,24,309,1,
hill,hill,176,0,45,1023,1,
it,it,177,0,73,2336,0,
s,,178,0,116,3116,0,
easy,easi,179,0,65,1612,0,
access,access,180,0,85,2683,1,
bus,bu,181,0,37,781,1,
shops,shop,182,0,84,2918,1,
grocery,groceri,183,0,8,162,1,
parks,park,184,0,209,5172,1,
hospital,hospit,186,0,7,115,1,
etc,etc,187,0,7,196,0,
backyard,backyard,188,0,83,2315,1,
basement,basement,189,0,84,2685,1,
rents,rent,190,0,11,120,1,181
up,up,191,0,59,1538,0,
rental,rental,194,0,12,158,1,
sites,site,195,0,14,427,1,
inc,inc,197,0,3,56,0,
roof,roof,198,0,59,1993,1,
dbl,dbl,199,0,9,109,0,
crown,crown,200,0,12,380,1,
doors,door,201,0,67,2310,1,
fix,fix,202,0,2,23,1,
elec,elec,204,0,4,60,0,
line,line,206,0,43,1212,0,
refinished,refinish,207,0,31,743,1,
hrdwds,hrdwd,208,0,6,134,1,101
french,french,209,0,41,1259,1,
drain,drain,210,0,3,32,0,
landscaping,landscap,212,0,55,1638,1,
near,near,213,0,24,643,1,
cap,cap,217,0,5,35,0,
quite,quit,219,0,2,35,0,
neighborhood,neighborhood,220,0,71,1904,1,
tucked,tuck,221,0,10,174,0,
off,off,222,0,85,2771,0,
oak,oak,223,0,34,909,1,
carpet,carpet,224,0,32,1011,1,
area,area,225,0,96,3141,1,
gas,ga,226,0,92,2830,1,
serene,seren,227,0,14,272,0,
back,back,228,0,83,2474,0,
garden,garden,229,0,95,2818,1,
views,view,230,1,212,5654,1,
city,citi,231,0,49,1496,1,
mt,mt,232,0,19,615,1,
rainier,rainier,233,0,27,513,1,
fr,fr,234,0,4,48,0,
separate,separ,235,0,36,887,1,
daylight,daylight,236,0,24,617,1,
income,incom,238,0,7,114,1,
potential,potenti,239,0,48,1021,1,
car,car,240,0,112,3070,1,
garage,garag,241,0,149,4722,1,
story,stori,243,0,20,608,1,
house,hous,244,0,36,1323,1,
main,main,246,0,144,4204,1,
level,level,247,0,224,5816,1,
front,front,248,0,46,1466,0,
eating,eat,249,0,45,1572,1,
slider,slider,250,0,11,209,1,
covered,cover,251,0,42,1028,1,
providing,provid,252,0,17,566,0,
boeing,boe,253,0,4,31,1,
field,field,254,0,6,84,0,
upper,upper,255,0,35,891,0,
non,non,256,0,9,224,0,
conforming,conform,257,0,8,194,0,
two,two,258,0,73,2149,1,
unfinished,unfinish,259,0,25,585,1,
half,half,260,0,13,274,0,
fruit,fruit,261,0,12,366,1,
trees,tree,262,0,35,1027,1,
carport,carport,263,0,15,321,1,
value,valu,264,0,9,203,1,
land,land,265,0,6,113,1,
freeways,freewai,266,0,17,377,1,
exceptional,except,267,0,12,228,0,
last,last,268,0,7,173,0,
end,end,269,0,25,740,1,
setting,set,270,0,35,845,1,
popular,popular,271,0,10,187,0,
minutes,minut,272,0,40,955,1,
link,link,273,0,3,59,0,
things,thing,274,0,3,52,0,
seattle,seattl,275,0,98,2082,1,
blend,blend,276,0,10,255,1,
quality,qualiti,277,0,22,508,1,
design,design,278,0,56,1473,1,
ft,ft,280,0,36,749,0,
ceilings,ceil,281,0,102,3485,1,
maple,mapl,282,0,14,520,1,
granite,granit,283,0,61,1770,1,
finishes,finish,284,0,78,2536,1,
built,built,285,0,68,2493,1,
luxurious,luxuri,286,0,18,365,1,
owner,owner,287,0,21,568,1,
vaulted,vault,288,0,29,844,1,
second,second,289,0,19,512,0,
frplc,frplc,290,0,9,201,1,89
five,five,291,0,4,81,0,
piece,piec,292,0,12,307,0,
extends,extend,293,0,5,106,0,
patio,patio,294,0,81,2548,1,
low,low,295,0,14,309,0,
maintenance,mainten,296,0,9,241,1,
hardi,hardi,297,0,3,39,1,101
board,board,298,0,2,32,0,
major,major,299,0,8,155,0,
commutes,commut,300,0,30,538,1,
classic,classic,301,0,50,1488,0,
brick,brick,302,0,32,875,1,
unobstructed,unobstruct,303,0,5,71,1,
lake,lake,304,1,85,2082,1,
washington,washington,305,0,29,557,1,
island,island,307,0,19,477,1,
charm,charm,309,0,80,2793,1,
abundant,abund,311,0,12,398,0,
hard,hard,312,0,6,112,1,
wood,wood,313,0,80,1935,1,
month,month,314,0,5,58,0,
law,law,315,0,10,151,0,
apartment,apart,316,0,6,113,1,
needs,need,317,0,19,397,0,
some,some,318,0,16,306,0,
tlc,tlc,319,0,7,83,0,
cozy,cozi,320,0,30,715,1,
laundry,laundri,321,0,47,1437,1,
school,school,322,0,42,1119,1,
must,must,323,0,27,468,0,
see,see,324,0,34,775,0,
filled,fill,325,0,43,1267,0,
panoramic,panoram,326,0,9,152,1,
mountains,mountain,327,0,36,956,1,
throughout,throughout,328,0,67,1783,0,
counter,counter,329,0,58,1967,1,
tops,top,330,0,44,1312,0,
ss,ss,331,0,20,548,1,344
hurry,hurri,333,0,5,101,0,
go,go,334,0,10,163,0,
fast,fast,335,0,2,40,0,
leschi,leschi,336,0,8,90,0,
craftsman,craftsman,337,0,57,1916,1,
today,todai,339,0,12,297,0,
flowing,flow,340,0,27,618,0,
plan,plan,341,0,70,1968,1,81
offers,offer,342,0,72,2188,0,
gorgeous,gorgeou,343,0,42,1059,1,
box,box,344,0,15,269,0,
beams,beam,345,0,17,352,1,
inlaid,inlaid,346,0,5,71,0,
leaded,lead,347,0,52,1349,1,
gourmet,gourmet,348,0,23,508,1,
kit,kit,349,0,19,350,1,51
drs,dr,350,0,10,231,1,188
entertaining,entertain,351,0,108,3036,1,
3rd,3rd,352,0,24,589,0,
fl,fl,353,0,3,56,0,
mstr,mstr,354,0,6,149,1,30
lower,lower,355,0,100,2827,0,
media,media,356,0,26,755,1,
work,work,357,0,19,692,1,
out,out,358,0,53,1719,0,
secret,secret,359,0,3,62,0,
very,veri,360,0,26,756,0,
mtn,mtn,361,0,9,215,1,
vistas,vista,362,0,5,99,1,
bungalow,bungalow,363,0,24,770,1,
heart,heart,364,0,29,835,1,
turn,turn,365,0,12,313,0,
key,kei,366,0,6,177,1,1517
stainless,stainless,367,0,47,1485,1,
clawfoot,clawfoot,368,0,4,57,1,
recently,recent,369,0,14,477,0,
rec,rec,370,0,43,1246,1,
stone,stone,371,0,15,436,1,
block,block,372,0,54,1451,1,
pergola,pergola,373,0,2,32,1,
exterior,exterior,375,0,22,569,1,
system,system,376,0,27,1080,0,
centrally,central,377,0,15,317,1,
by,by,378,0,52,1514,0,
downtown,downtown,379,0,54,1456,1,
ravenna,ravenna,380,0,9,214,1,
sf,sf,382,0,11,228,1,670
bathroom,bathroom,383,0,48,1625,1,
better,better,386,0,4,82,0,
nice,nice,388,0,29,942,0,
amazing,amaz,389,0,30,609,0,
style,style,390,0,26,893,0,
bed,bed,391,0,53,1492,1,82
stairs,stair,392,0,6,138,1,
down,down,393,0,18,493,0,
move,move,394,0,32,995,0,
ready,readi,395,0,45,1242,0,
also,also,396,0,16,545,0,
plenty,plenti,397,0,31,849,0,
that,that,398,0,61,1995,0,
pets,pet,399,0,6,91,1,
wonderful,wonder,400,0,26,997,0,
three,three,401,0,29,761,0,
fresco,fresco,404,0,4,53,1,
fabulous,fabul,405,0,17,612,0,
restaurants,restaur,406,0,50,1350,1,
village,villag,407,0,22,569,1,
u,u,408,0,9,269,1,380
university,univers,410,0,7,142,1,
children,children,411,0,7,129,1,
much,much,412,0,18,467,0,
short,short,413,0,19,469,0,
walk,walk,414,1,116,3351,1,
alaska,alaska,415,0,7,115,1,
st,st,416,0,7,170,1,115
junction,junction,417,0,15,366,0,
studs,stud,418,0,8,141,1,
slab,slab,420,0,18,484,1,
glass,glass,421,0,34,1041,1,
creative,creativ,422,0,6,110,0,
sellers,seller,423,0,8,134,0,
renovated,renov,424,0,19,544,1,
adding,ad,425,0,7,187,0,
creating,creat,426,0,16,408,0,
modern,modern,427,0,62,1508,1,
