Full,Stem,Index,Min,Max,Total,Keep,Root_Index
home,home,1,4,413,12134,1,
pride,pride,2,0,7,107,1,
of,of,3,1,388,12432,0,
ownership,ownership,4,0,7,113,1,
is,i,5,0,227,7609,0,
the,the,6,3,830,26216,0,
moment,moment,7,0,5,121,0,
you,you,8,0,93,3403,0,
enter,enter,9,0,10,260,1,
this,thi,10,2,255,8916,0,
impressive,impress,11,0,10,173,0,
perched,perch,12,0,15,350,1,
along,along,13,0,10,245,0,
burke,burk,14,0,11,286,1,
gilman,gilman,15,0,11,278,1,
trail,trail,16,0,21,465,1,
special,special,17,0,14,304,0,
has,ha,18,1,146,5219,0,
all,all,19,0,105,3339,0,
right,right,20,0,15,348,1,
spaces,space,21,0,160,5228,1,
on,on,22,1,334,10310,0,
your,your,23,0,106,2889,0,
list,list,24,0,18,332,0,
for,for,25,0,271,8769,0,
ideal,ideal,26,0,19,553,0,
active,activ,27,0,9,128,1,
lifestyle,lifestyl,28,0,10,234,1,
oversized,overs,29,0,25,608,1,
master,master,30,1,142,4213,1,
suite,suit,31,0,89,2583,1,
w,w,32,0,349,10808,0,
adjoining,adjoin,33,0,11,227,1,
sitting,sit,34,0,34,898,1,
room,room,35,3,426,13868,1,
deck,deck,36,0,175,5167,1,
perfect,perfect,37,0,73,2018,0,
place,place,38,0,21,426,1,
to,to,39,4,647,18523,0,
relax,relax,40,0,21,495,1,
boasts,boast,41,0,26,758,0,
bdrms,bdrm,43,0,68,1572,1,82
including,includ,44,0,87,2817,0,
private,privat,45,0,109,3210,1,
living,live,46,2,220,7030,1,
possible,possibl,47,0,21,438,0,
pair,pair,48,0,2,31,0,
enjoy,enjoi,49,0,68,1867,0,
open,open,50,0,146,4692,1,
kitchen,kitchen,51,1,292,9503,1,
layout,layout,52,0,9,253,1,81
family,famili,53,0,83,2753,1,
mature,matur,54,0,20,600,1,
lush,lush,55,0,17,405,1,
yard,yard,56,0,117,4064,1,
can,can,57,0,19,558,0,
be,be,58,0,50,1317,0,
from,from,59,0,120,3553,0,
large,larg,61,0,188,6282,1,
truly,truli,62,0,13,289,0,
gem,gem,63,0,16,325,1,
sunny,sunni,64,0,40,1034,1,
and,and,65,4,1140,30464,0,
bright,bright,66,0,44,1099,1,
unit,unit,67,0,14,192,1,
quiet,quiet,68,0,52,1547,1,
side,side,69,0,24,712,1,
building,build,70,0,21,309,1,
with,with,71,4,607,18139,0,
full,full,72,0,115,3152,0,
western,western,73,0,9,227,1,
exposure,exposur,74,0,10,261,1,
in,in,75,4,500,16673,0,
well,well,76,0,43,1276,0,
maintained,maintain,77,0,33,891,1,
newer,newer,78,0,56,1841,1,
windows,window,79,0,127,4442,1,
spacious,spaciou,80,0,121,3468,1,
floorplan,floorplan,81,0,10,212,1,
bedroom,bedroom,82,2,250,7565,1,
bath,bath,83,3,291,8660,1,
2nd,2nd,84,0,45,1017,1,
tiled,tile,85,0,61,2029,1,
tub,tub,86,0,30,1038,1,
shower,shower,87,0,21,466,1,
surrounds,surround,88,0,21,629,0,
fireplace,fireplac,89,0,137,4343,1,
sun,sun,90,0,23,626,1,
appliances,applianc,91,0,81,2355,1,
range,rang,92,0,19,586,1,
fridge,fridg,93,0,6,122,1,
dishwasher,dishwash,94,0,5,122,1,
plus,plu,95,0,48,1331,0,
washer,washer,96,0,10,195,1,
dryer,dryer,97,0,10,205,1,
dining,dine,98,0,141,4770,1,
formal,formal,99,0,59,1851,1,
entry,entri,100,0,41,1131,1,
hardwoods,hardwood,101,0,127,4484,1,
freshly,freshli,102,0,17,381,1,
painted,paint,103,0,55,1855,1,
thruout,thruout,104,0,5,62,0,
new,new,105,1,189,6852,1,
light,light,106,1,144,4295,1,
fixtures,fixtur,107,0,15,389,1,
storage,storag,108,0,93,2698,1,
more,more,109,0,44,1471,0,
great,great,110,0,128,4093,0,
updated,updat,111,0,156,5282,1,
georgetown,georgetown,112,0,5,58,1,
charmer,charmer,113,0,12,318,0,
beautiful,beauti,114,0,70,2254,0,
street,street,115,0,116,3615,1,
club,club,116,0,10,184,1,
original,origin,117,0,61,1571,1,
character,charact,118,0,15,314,1,
details,detail,119,0,41,1295,1,
incl,incl,120,0,12,232,0,
picture,pictur,121,0,17,553,1,
rail,rail,122,0,37,806,1,
molding,mold,123,0,18,503,1,
knobs,knob,124,0,4,75,1,
fir,fir,125,0,27,632,1,
floors,floor,126,0,339,10564,1,
romantic,romant,127,0,5,103,1,
period,period,128,0,24,838,1,
will,will,129,0,34,1057,0,
make,make,130,0,29,955,0,
fall,fall,131,0,9,129,1,
love,love,132,0,57,1796,0,
step,step,133,0,24,742,1,
inside,insid,134,0,21,629,1,
kind,kind,135,0,7,126,0,
t,t,136,0,16,535,0,
miss,miss,137,0,16,417,0,
huge,huge,138,0,67,1916,0,
fully,fulli,139,0,56,1824,0,
fenced,fenc,140,0,82,2590,1,
outdoor,outdoor,141,0,37,927,1,
play,plai,142,0,17,560,1,
triple,tripl,143,0,3,32,1,
paned,pane,144,0,26,655,1,
electric,electr,145,0,35,1126,1,
plumbing,plumb,146,0,45,1400,1,
bonus,bonu,147,0,38,1018,0,
features,featur,148,0,122,3268,0,
wine,wine,149,0,11,307,1,
cellar,cellar,150,0,8,168,1,
detached,detach,151,0,43,1288,1,
office,offic,152,0,52,1802,1,
music,music,153,0,3,34,1,
art,art,154,0,11,287,1,
studio,studio,155,0,19,503,1,
or,or,156,0,110,3043,0,
mil,mil,157,0,27,378,0,
remodeled,remodel,158,0,86,3083,1,
lot,lot,160,0,132,3767,1,
natural,natur,161,0,37,1123,1,
sw,sw,162,0,6,100,1,1461
located,locat,163,0,134,4078,1,
n,n,164,0,5,87,1,539
beacon,beacon,165,0,24,309,1,
hill,hill,166,0,45,1023,1,
it,it,167,0,73,2336,0,
s,,168,0,116,3116,1,
easy,easi,169,0,65,1612,1,
access,access,170,0,85,2683,1,
bus,bu,171,0,37,781,1,
shops,shop,172,0,84,2918,1,
grocery,groceri,173,0,8,162,1,
parks,park,174,0,209,5172,1,
hospital,hospit,175,0,7,115,1,
etc,etc,176,0,7,196,0,
backyard,backyard,177,0,83,2315,1,
basement,basement,178,0,84,2685,1,
rents,rent,179,0,11,120,1,181
up,up,180,0,59,1538,1,
rental,rental,181,0,12,158,1,
sites,site,182,0,14,427,1,
inc,inc,184,0,3,56,0,
roof,roof,185,0,59,1993,1,
dbl,dbl,186,0,9,109,0,
crown,crown,187,0,12,380,1,
doors,door,188,0,67,2310,1,
fix,fix,189,0,2,23,1,
elec,elec,190,0,4,60,1,
line,line,191,0,43,1212,0,
refinished,refinish,192,0,31,743,1,
hrdwds,hrdwd,193,0,6,134,1,101
french,french,194,0,41,1259,1,
drain,drain,195,0,3,32,1,
landscaping,landscap,196,0,55,1638,1,
near,near,197,0,24,643,1,
cap,cap,199,0,5,35,0,
quite,quit,200,0,2,35,0,
neighborhood,neighborhood,201,0,71,1904,1,
tucked,tuck,202,0,10,174,1,
off,off,203,0,85,2771,0,
oak,oak,204,0,34,909,1,
carpet,carpet,205,0,32,1011,1,
area,area,206,0,96,3141,1,
gas,ga,207,0,92,2830,1,
serene,seren,208,0,14,272,1,
back,back,209,0,83,2474,1,
garden,garden,210,0,95,2818,1,
views,view,211,1,212,5654,1,
city,citi,212,0,49,1496,1,
mt,mt,213,0,19,615,1,
rainier,rainier,214,0,27,513,1,
fr,fr,215,0,4,48,0,
separate,separ,216,0,36,887,1,
daylight,daylight,217,0,24,617,1,
income,incom,219,0,7,114,1,
potential,potenti,220,0,48,1021,1,
car,car,221,0,112,3070,1,
garage,garag,222,0,149,4722,1,
story,stori,224,0,20,608,1,
house,hous,225,0,36,1323,1,
main,main,227,0,144,4204,1,
level,level,228,0,224,5816,1,
front,front,229,0,46,1466,1,
eating,eat,230,0,45,1572,1,
slider,slider,231,0,11,209,1,
covered,cover,232,0,42,1028,1,
providing,provid,233,0,17,566,0,
boeing,boe,234,0,4,31,1,
field,field,235,0,6,84,1,
upper,upper,236,0,35,891,1,
non,non,237,0,9,224,0,
conforming,conform,238,0,8,194,1,
two,two,239,0,73,2149,1,
unfinished,unfinish,240,0,25,585,1,
half,half,241,0,13,274,1,
fruit,fruit,242,0,12,366,1,
trees,tree,243,0,35,1027,1,
carport,carport,244,0,15,321,1,
value,valu,245,0,9,203,1,
land,land,246,0,6,113,1,
freeways,freewai,247,0,17,377,1,
exceptional,except,248,0,12,228,0,
last,last,249,0,7,173,1,
end,end,250,0,25,740,1,
setting,set,251,0,35,845,1,
popular,popular,252,0,10,187,0,
minutes,minut,253,0,40,955,1,
link,link,254,0,3,59,1,
things,thing,255,0,3,52,0,
seattle,seattl,256,0,98,2082,1,
blend,blend,257,0,10,255,1,
quality,qualiti,258,0,22,508,1,
design,design,259,0,56,1473,1,
ft,ft,260,0,36,749,0,
ceilings,ceil,261,0,102,3485,1,
maple,mapl,262,0,14,520,1,
granite,granit,263,0,61,1770,1,
finishes,finish,264,0,78,2536,1,
built,built,265,0,68,2493,1,
luxurious,luxuri,266,0,18,365,1,
owner,owner,267,0,21,568,1,
vaulted,vault,268,0,29,844,1,
second,second,269,0,19,512,1,
frplc,frplc,270,0,9,201,1,89
five,five,271,0,4,81,1,
piece,piec,272,0,12,307,1,
extends,extend,273,0,5,106,1,
patio,patio,274,0,81,2548,1,
low,low,275,0,14,309,1,
maintenance,mainten,276,0,9,241,1,
hardi,hardi,277,0,3,39,1,101
board,board,278,0,2,32,1,
major,major,279,0,8,155,1,
commutes,commut,280,0,30,538,1,
classic,classic,281,0,50,1488,0,
brick,brick,282,0,32,875,1,
unobstructed,unobstruct,283,0,5,71,1,
lake,lake,284,1,85,2082,1,
washington,washington,285,0,29,557,1,
island,island,286,0,19,477,1,
charm,charm,287,0,80,2793,1,
abundant,abund,289,0,12,398,1,
hard,hard,290,0,6,112,1,
wood,wood,291,0,80,1935,1,
month,month,292,0,5,58,0,
law,law,293,0,10,151,1,
apartment,apart,294,0,6,113,1,
needs,need,295,0,19,397,0,
some,some,296,0,16,306,0,
tlc,tlc,297,0,7,83,0,
cozy,cozi,298,0,30,715,1,
laundry,laundri,299,0,47,1437,1,
school,school,300,0,42,1119,1,
must,must,301,0,27,468,0,
see,see,302,0,34,775,1,
filled,fill,303,0,43,1267,0,
panoramic,panoram,304,0,9,152,1,
mountains,mountain,305,0,36,956,1,
throughout,throughout,306,0,67,1783,0,
counter,counter,307,0,58,1967,1,
tops,top,308,0,44,1312,1,
ss,ss,309,0,20,548,1,344
hurry,hurri,310,0,5,101,1,
go,go,311,0,10,163,0,
fast,fast,312,0,2,40,0,
leschi,leschi,313,0,8,90,0,
craftsman,craftsman,314,0,57,1916,1,
today,todai,316,0,12,297,0,
flowing,flow,317,0,27,618,1,
plan,plan,318,0,70,1968,1,81
offers,offer,319,0,72,2188,0,
gorgeous,gorgeou,320,0,42,1059,1,
box,box,321,0,15,269,1,
beams,beam,322,0,17,352,1,
inlaid,inlaid,323,0,5,71,0,
leaded,lead,324,0,52,1349,1,
gourmet,gourmet,325,0,23,508,1,
kit,kit,326,0,19,350,1,51
drs,dr,327,0,10,231,1,188
entertaining,entertain,328,0,108,3036,1,
3rd,3rd,329,0,24,589,1,
fl,fl,330,0,3,56,0,
mstr,mstr,331,0,6,149,1,30
lower,lower,332,0,100,2827,1,
media,media,333,0,26,755,1,
work,work,334,0,19,692,1,
out,out,335,0,53,1719,1,
secret,secret,336,0,3,62,0,
very,veri,337,0,26,756,0,
mtn,mtn,338,0,9,215,1,
vistas,vista,339,0,5,99,1,
bungalow,bungalow,340,0,24,770,1,
heart,heart,341,0,29,835,1,
turn,turn,342,0,12,313,1,
key,kei,343,0,6,177,1,
stainless,stainless,344,0,47,1485,1,
clawfoot,clawfoot,345,0,4,57,1,
recently,recent,346,0,14,477,1,
rec,rec,347,0,43,1246,1,
stone,stone,348,0,15,436,1,
block,block,349,0,54,1451,1,
pergola,pergola,350,0,2,32,1,
exterior,exterior,351,0,22,569,1,
system,system,352,0,27,1080,0,
centrally,central,353,0,15,317,1,
by,by,354,0,52,1514,0,
downtown,downtown,355,0,54,1456,1,
ravenna,ravenna,356,0,9,214,1,
sf,sf,357,0,11,228,1,670
bathroom,bathroom,358,0,48,1625,1,
better,better,359,0,4,82,0,
nice,nice,360,0,29,942,0,
amazing,amaz,361,0,30,609,0,
style,style,362,0,26,893,1,
bed,bed,363,0,53,1492,1,82
stairs,stair,364,0,6,138,1,
down,down,365,0,18,493,1,
move,move,366,0,32,995,1,
ready,readi,367,0,45,1242,1,
also,also,368,0,16,545,0,
plenty,plenti,369,0,31,849,0,
that,that,370,0,61,1995,0,
pets,pet,371,0,6,91,1,
wonderful,wonder,372,0,26,997,0,
three,three,373,0,29,761,1,
fresco,fresco,374,0,4,53,1,
fabulous,fabul,375,0,17,612,0,
restaurants,restaur,376,0,50,1350,1,
village,villag,377,0,22,569,1,
u,u,378,0,9,269,1,380
university,univers,380,0,7,142,1,
children,children,381,0,7,129,1,
much,much,382,0,18,467,0,
short,short,383,0,19,469,1,
walk,walk,384,1,116,3351,1,
alaska,alaska,385,0,7,115,1,
st,st,386,0,7,170,1,115
junction,junction,387,0,15,366,0,
studs,stud,388,0,8,141,1,
slab,slab,389,0,18,484,1,
glass,glass,390,0,34,1041,1,
creative,creativ,391,0,6,110,0,
sellers,seller,392,0,8,134,0,
renovated,renov,393,0,19,544,1,
adding,ad,394,0,7,187,0,
creating,creat,395,0,16,408,1,
modern,modern,396,0,62,1508,1,
