"","Full","Stem","Index","Min","Max","Total","Keep","Root_Index"
"1","home","home",1,4,413,12134,1,NA
"2","pride","pride",2,0,7,107,1,NA
"4","ownership","ownership",4,0,7,113,1,NA
"12","perched","perch",12,0,15,350,1,NA
"14","burke","burk",14,0,11,286,1,NA
"15","gilman","gilman",15,0,11,278,1,NA
"16","trail","trail",16,0,21,465,1,NA
"21","spaces","space",21,0,160,5228,1,NA
"27","active","activ",27,0,9,128,1,NA
"28","lifestyle","lifestyl",28,0,10,234,1,NA
"29","oversized","overs",29,0,25,608,1,NA
"30","master","master",30,1,142,4213,1,NA
"31","suite","suit",31,0,89,2583,1,NA
"33","adjoining","adjoin",33,0,11,227,1,NA
"34","sitting","sit",34,0,34,898,1,NA
"35","room","room",35,3,426,13868,1,NA
"36","deck","deck",36,0,175,5167,1,NA
"42","bdrms","bdrm",43,0,68,1572,1,82
"44","private","privat",45,0,109,3210,1,NA
"45","living","live",46,2,220,7030,1,NA
"49","open","open",50,0,146,4692,1,NA
"50","kitchen","kitchen",51,1,292,9503,1,NA
"51","layout","layout",52,0,9,253,1,81
"52","family","famili",53,0,83,2753,1,NA
"53","mature","matur",54,0,20,600,1,NA
"54","lush","lush",55,0,17,405,1,NA
"55","yard","yard",56,0,117,4064,1,NA
"59","large","larg",61,0,188,6282,1,NA
"61","gem","gem",63,0,16,325,1,NA
"62","sunny","sunni",64,0,40,1034,1,90
"64","bright","bright",66,0,44,1099,1,NA
"66","quiet","quiet",68,0,52,1547,1,NA
"68","building","build",70,0,21,309,1,NA
"71","western","western",73,0,9,227,1,NA
"72","exposure","exposur",74,0,10,261,1,NA
"75","maintained","maintain",77,0,33,891,1,NA
"76","newer","newer",78,0,56,1841,1,NA
"77","windows","window",79,0,127,4442,1,NA
"78","spacious","spaciou",80,0,121,3468,1,NA
"79","floorplan","floorplan",81,0,10,212,1,NA
"80","bedroom","bedroom",82,2,250,7565,1,NA
"81","bath","bath",83,3,291,8660,1,NA
"82","2nd","2nd",84,0,45,1017,1,NA
"83","tiled","tile",85,0,61,2029,1,NA
"84","tub","tub",86,0,30,1038,1,NA
"85","shower","shower",87,0,21,466,1,NA
"87","fireplace","fireplac",89,0,137,4343,1,NA
"88","sun","sun",90,0,23,626,1,NA
"89","appliances","applianc",91,0,81,2355,1,NA
"90","range","rang",92,0,19,586,1,NA
"91","fridge","fridg",93,0,6,122,1,992
"92","dishwasher","dishwash",94,0,5,122,1,NA
"94","washer","washer",96,0,10,195,1,NA
"95","dryer","dryer",97,0,10,205,1,NA
"96","dining","dine",98,0,141,4770,1,NA
"99","hardwoods","hardwood",101,0,127,4484,1,NA
